label,pattern,attr,replace
odonata,Drepanosticta hamulifera,lower,
odonata,Drepanosticta hermes,lower,
odonata,Drepanosticta hongkongensis,lower,
odonata,Drepanosticta inconspicua,lower,
odonata,Drepanosticta inversa,lower,
odonata,Drepanosticta johncanni,lower,
odonata,Drepanosticta jurzitzai,lower,
odonata,Drepanosticta karubei,lower,
odonata,Drepanosticta khaochongensis,lower,
odonata,Drepanosticta kosterini,lower,
odonata,Drepanosticta krios,lower,
odonata,Drepanosticta kruegeri,lower,
odonata,Drepanosticta leonardi,lower,
odonata,Drepanosticta lepyricollis,lower,
odonata,Drepanosticta lestoides,lower,
odonata,Platysticta lestoides,lower,Drepanosticta lestoides
odonata,Drepanosticta lymetta,lower,
odonata,Drepanosticta luzonica,lower,
odonata,Drepanosticta machadoi,lower,
odonata,Drepanosticta magna,lower,
odonata,Drepanosticta makilingia,lower,
odonata,Drepanosticta malleus,lower,
odonata,Drepanosticta marsyas,lower,
odonata,Drepanosticta megametta,lower,
odonata,Drepanosticta misoolensis,lower,
odonata,Drepanosticta moluccana,lower,
odonata,Drepanosticta monoceros,lower,
odonata,Drepanosticta moorei,lower,
odonata,Drepanosticta mylitta,lower,
odonata,Drepanosticta septima,lower,Drepanosticta mylitta
odonata,Drepanosticta myzouris,lower,
odonata,Drepanosticta obiensis,lower,
odonata,Drepanosticta palauensis,lower,
odonata,Drepanosticta pan,lower,
odonata,Drepanosticta pararudicula,lower,
odonata,Drepanosticta penicillata,lower,
odonata,Drepanosticta philippa,lower,
odonata,Drepanosticta pistor,lower,
odonata,Drepanosticta polychromatica,lower,
odonata,Drepanosticta psygma,lower,
odonata,Drepanosticta pterophora,lower,
odonata,Drepanosticta pytho,lower,
odonata,Drepanosticta quadrata,lower,
odonata,Platysticta quadrata,lower,Drepanosticta quadrata
odonata,Drepanosticta quadricornu,lower,
odonata,Drepanosticta rahmani,lower,
odonata,Drepanosticta rhamphis,lower,
odonata,Drepanosticta robusta,lower,
odonata,Drepanosticta rudicula,lower,
odonata,Drepanosticta rufostigma,lower,
odonata,Platysticta rufostigma,lower,Drepanosticta rufostigma
odonata,Drepanosticta sbong,lower,
odonata,Drepanosticta schorri,lower,
odonata,Drepanosticta sembilanensis,lower,
odonata,Drepanosticta seramensis,lower,
odonata,Drepanosticta sharpi,lower,
odonata,Platysticta sharpi,lower,Drepanosticta sharpi
odonata,Drepanosticta siebersi,lower,
odonata,Drepanosticta silenus,lower,
odonata,Drepanosticta simuni,lower,
odonata,Drepanosticta siu,lower,
odonata,Drepanosticta spatulifera,lower,
odonata,Drepanosticta sugbo,lower,
odonata,Drepanosticta sumatrana,lower,
odonata,Drepanosticta sundana,lower,
odonata,Platysticta sundana,lower,Drepanosticta sundana
odonata,Drepanosticta taurulus,lower,
odonata,Drepanosticta taurus,lower,
odonata,Drepanosticta tenella,lower,
odonata,Drepanosticta trachelocele,lower,
odonata,Drepanosticta trimaculata,lower,
odonata,Drepanosticta vietnamica,lower,
odonata,Drepanosticta viridis,lower,
odonata,Drepanosticta watuwilensis,lower,
odonata,Drepanosticta wildermuthi,lower,
odonata,Drepanosticta zhoui,lower,
odonata,Indosticta deccanensis,lower,
odonata,Platysticta deccanensis,lower,Indosticta deccanensis
odonata,Palaemnema abbreviata,lower,
odonata,Palaemnema angelina,lower,
odonata,Palaemnema apicalis,lower,
odonata,Palaemnema azupizui,lower,
odonata,Palaemnema baltodanoi,lower,
odonata,Palaemnema bilobulata,lower,
odonata,Palaemnema brasiliensis,lower,
odonata,Palaemnema brevignoni,lower,
odonata,Palaemnema brucei,lower,
odonata,Palaemnema brucelli,lower,
odonata,Palaemnema carmelita,lower,
odonata,Palaemnema chiriquita,lower,
odonata,Palaemnema clementia,lower,
odonata,Palaemnema collaris,lower,
odonata,Palaemnema croceicauda,lower,
odonata,Palaemnema cyclohamulata,lower,
odonata,Palaemnema dentata,lower,
odonata,Palaemnema desiderata,lower,
odonata,Palaemnema distadens,lower,
odonata,Palaemnema domina,lower,
odonata,Palaemnema edmondi,lower,
odonata,Palaemnema gigantula,lower,
odonata,Palaemnema joanetta,lower,
odonata,Palaemnema lorena,lower,
odonata,Palaemnema martini,lower,
odonata,Palaemnema melanocauda,lower,
odonata,Palaemnema melanostigma,lower,
odonata,Palaemnema melanota,lower,
odonata,Palaemnema melanura,lower,
odonata,Palaemnema mutans,lower,
odonata,Palaemnema nathalia,lower,
odonata,Palaemnema orientalis,lower,
odonata,Palaemnema paulicaxa,lower,
odonata,Palaemnema paulicoba,lower,
odonata,Palaemnema paulina,lower,
odonata,Libellula paulina,lower,Palaemnema paulina
odonata,Palaemnema paulirica,lower,
odonata,Palaemnema paulitaba,lower,
odonata,Palaemnema paulitoyaca,lower,
odonata,Palaemnema peruviana,lower,
odonata,Palaemnema picicaudata,lower,
odonata,Palaemnema reventazoni,lower,
odonata,Palaemnema spinulata,lower,
odonata,Palaemnema tepuica,lower,
